Eddard,Stark,Ned@westeros.net,Research & Development,100,100
Benjen,Stark,ColdHands@westeros.net,Auditing,601,101
Catelyn,Stark,Mother@westeros.net,Human Resources,302,102
Arya,Stark,A_Girl@westeros.net,Research & Development,103,103
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,104
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,105
Bran,Stark,TheRaven@westeros.net,Research & Development,106,106
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,107
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,108
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,109
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,110
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,111
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,112
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,113
Renly,Baratheon,SummerKing@westeros.net,Sales,514,114
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,115
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,116
