Eddard,Stark,Ned@westeros.net,Research & Development,100
Benjen,Stark,ColdHands@westeros.net,Auditing,600
Catelyn,Stark,Mother@westeros.net,Human Resources,300
Arya,Stark,A_Girl@westeros.net,Research & Development,101
Robb,Stark,YoungWolf@westeros.net,Research & Development,102
Sansa,Stark,LittleDove@westeros.net,Research & Development,103
Bran,Stark,TheRaven@westeros.net,Research & Development,104
Rickon,Stark,Shaggydog@westeros.net,Research & Development,105
Jon,Snow,TheGhostBrother@westeros.net,Auditing,601
Tyrion,Lannister,TheImp@westeros.net,Accounting,400
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,401
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,402
Robert,Baratheon,TheUsurper@westeros.net,Sales,500
Stannis,Baratheon,ThePromised@westeros.net,Sales,501
Renly,Baratheon,SummerKing@westeros.net,Sales,502
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,200
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,201
